seasonType,eventId,commentaryOrder,playId,clockDisplayValue,commentaryText,updateDateTime,penalty_position,penalty_direction,save,goal,miss
13481,740715,70,46437661,69',"Goal! Bournemouth 1, West Ham United 2. Marcus Tavernier (Bournemouth) converts the penalty with a left footed shot to the high centre of the goal.",2025-11-23 01:10:53,5,middle center,0,1,0
13481,740717,87,46488991,68',Penalty saved. Lukas Nmecha (Leeds United) right footed shot saved in the bottom right corner by Gianluigi Donnarumma (Manchester City).,2025-11-30 01:17:06,7,bottom right,1,0,0
13481,740718,67,46489377,81',"Goal! Brentford 1, Burnley 0. Igor Thiago (Brentford) converts the penalty with a right footed shot to the bottom left corner.",2025-11-30 01:17:06,9,bottom left,0,1,0
13481,740718,71,46489532,85',"Goal! Brentford 1, Burnley 1. Zian Flemming (Burnley) converts the penalty with a right footed shot to the bottom right corner.",2025-11-30 01:17:06,7,bottom right,0,1,0
13481,740724,35,46486823,30',"Goal! Sunderland 1, Bournemouth 2. Enzo Le Fée (Sunderland) converts the penalty with a right footed shot to the high centre of the goal.",2025-11-30 01:17:06,5,middle center,0,1,0
13481,740725,35,46497947,36',"Goal! Crystal Palace 1, Manchester United 0. Jean-Philippe Mateta (Crystal Palace) converts the penalty with a right footed shot to the bottom right corner.",2025-12-01 01:15:18,7,bottom right,0,1,0
13481,740729,88,46516136,86',"Goal! Newcastle United 2, Tottenham Hotspur 1. Anthony Gordon (Newcastle United) converts the penalty with a right footed shot to the bottom right corner.",2025-12-03 01:08:53,7,bottom right,0,1,0
13481,740737,103,46562223,82',"Goal! Wolverhampton Wanderers 1, Manchester United 4. Bruno Fernandes (Manchester United) converts the penalty with a right footed shot to the bottom left corner.",2025-12-09 01:04:56,9,bottom left,0,1,0
13481,740741,48,46539279,45'+8',"Goal! Newcastle United 2, Burnley 0. Anthony Gordon (Newcastle United) converts the penalty with a right footed shot to the bottom left corner.",2025-12-08 01:12:54,9,bottom left,0,1,0
13481,740741,103,46541883,90'+4',"Goal! Newcastle United 2, Burnley 1. Zian Flemming (Burnley) converts the penalty with a right footed shot to the bottom right corner.",2025-12-08 01:12:54,7,bottom right,0,1,0
13481,740742,89,46543841,73',"Goal! Leeds United 1, Liverpool 2. Dominic Calvert-Lewin (Leeds United) converts the penalty with a right footed shot to the top right corner.",2025-12-08 01:12:54,1,top right,0,1,0
13481,740747,71,46601997,89',"Goal! Crystal Palace 0, Manchester City 3. Erling Haaland (Manchester City) converts the penalty with a left footed shot to the bottom right corner.",2025-12-14 18:52:18,7,bottom right,0,1,0
13481,740757,10,46639861,27',"Goal! Everton 0, Arsenal 1. Viktor Gyökeres (Arsenal) converts the penalty with a right footed shot to the top left corner.",2025-12-21 22:37:15,3,top left,0,1,0
13481,740758,43,46657567,45'+5',"Goal! Fulham 1, Nottingham Forest 0. Raúl Jiménez (Fulham) converts the penalty with a right footed shot to the bottom left corner.",2025-12-22 22:35:17,9,bottom left,0,1,0
13481,740759,99,46641090,90'+2',"Goal! Leeds United 3, Crystal Palace 1. Justin Devenny (Crystal Palace) converts the penalty with a left footed shot to the bottom left corner.",2025-12-21 22:37:15,9,bottom left,0,1,0
13481,740761,88,46635929,88',Penalty saved. Jørgen Strand Larsen (Wolverhampton Wanderers) right footed shot saved in the bottom right corner by Caoimhín Kelleher (Brentford).,2025-12-21 22:37:15,7,bottom right,1,0,0
13481,740779,13,46685311,15',"Goal! Chelsea 1, Bournemouth 1. Cole Palmer (Chelsea) converts the penalty with a left footed shot to the bottom left corner.",2026-01-01 00:09:17,9,bottom left,0,1,0
